iter	Passed	Remaining
0	5	5675
1	11	5827
2	17	5720
3	22	5699
4	28	5627
5	33	5584
6	38	5503
7	43	5424
8	49	5424
9	54	5410
10	59	5389
11	65	5379
12	70	5383
13	76	5372
14	81	5375
15	87	5391
16	92	5373
17	98	5372
18	103	5338
19	108	5321
20	113	5307
21	119	5309
22	124	5302
23	130	5290
24	135	5281
25	140	5275
26	145	5257
27	151	5251
28	156	5236
29	161	5224
30	166	5211
31	171	5202
32	177	5197
33	182	5186
34	187	5182
35	193	5174
36	198	5172
37	204	5173
38	209	5173
39	215	5167
40	220	5166
41	226	5163
42	232	5169
43	238	5175
44	243	5162
45	249	5166
46	254	5166
47	260	5156
48	265	5148
49	270	5140
50	275	5125
51	280	5118
52	286	5111
53	291	5104
54	296	5097
55	302	5092
56	307	5085
57	312	5079
58	319	5089
59	325	5091
60	331	5100
61	337	5100
62	343	5106
63	349	5105
64	355	5106
65	360	5102
66	365	5093
67	371	5097
68	377	5088
69	382	5080
70	387	5069
71	392	5063
72	397	5053
73	403	5045
74	408	5036
75	413	5032
76	419	5022
77	424	5013
78	429	5002
79	434	4995
80	439	4989
81	444	4979
82	450	4972
83	455	4966
84	460	4958
85	466	4954
86	472	4959
87	478	4955
88	483	4948
89	488	4941
90	494	4940
91	500	4938
92	505	4934
93	511	4932
94	517	4925
95	522	4916
96	527	4912
97	532	4903
98	538	4897
99	543	4888
100	547	4877
101	553	4872
102	558	4864
103	563	4855
104	568	4848
105	573	4838
106	578	4830
107	583	4821
108	589	4815
109	594	4808
110	599	4801
111	604	4793
112	609	4787
113	615	4783
114	620	4777
115	626	4771
116	631	4765
117	636	4759
118	642	4754
119	647	4750
120	653	4745
121	658	4738
122	664	4734
123	669	4730
124	674	4724
125	680	4717
126	685	4711
127	690	4703
128	695	4696
129	700	4690
130	706	4684
131	711	4678
132	716	4672
133	722	4667
134	727	4659
135	732	4652
136	737	4647
137	743	4641
138	748	4635
139	753	4629
140	758	4622
141	764	4618
142	769	4612
143	774	4606
144	780	4599
145	785	4592
146	790	4586
147	795	4579
148	800	4571
149	806	4567
150	811	4560
151	816	4554
152	821	4547
153	826	4541
154	831	4535
155	837	4530
156	843	4527
157	848	4521
158	854	4517
159	859	4512
160	865	4508
161	870	4501
162	875	4495
163	881	4491
164	886	4485
165	891	4479
166	896	4472
167	901	4465
168	907	4461
169	912	4456
170	918	4452
171	923	4446
172	928	4438
173	933	4432
174	938	4426
175	944	4419
176	949	4413
177	954	4407
178	959	4402
179	964	4395
180	970	4390
181	975	4382
182	980	4375
183	985	4369
184	990	4363
185	995	4358
186	1001	4354
187	1007	4350
188	1012	4344
189	1018	4341
190	1023	4334
191	1028	4329
192	1033	4323
193	1039	4316
194	1044	4309
195	1049	4304
196	1054	4297
197	1060	4294
198	1065	4289
199	1070	4283
200	1076	4279
201	1081	4273
202	1087	4268
203	1092	4263
204	1097	4256
205	1102	4251
206	1108	4246
207	1113	4240
208	1119	4235
209	1124	4230
210	1129	4223
211	1134	4217
212	1139	4211
213	1144	4205
214	1150	4199
215	1155	4195
216	1160	4189
217	1166	4182
218	1171	4176
219	1176	4170
220	1181	4164
221	1186	4158
222	1191	4153
223	1197	4148
224	1202	4143
225	1207	4136
226	1212	4130
227	1217	4123
228	1222	4117
229	1228	4111
230	1233	4105
231	1238	4099
232	1243	4093
233	1248	4086
234	1253	4081
235	1259	4077
236	1265	4072
237	1270	4067
238	1276	4063
239	1281	4059
240	1287	4053
241	1292	4049
242	1297	4043
243	1302	4036
244	1329	4095
245	1338	4101
246	1346	4103
247	1353	4102
248	1359	4098
249	1364	4094
250	1370	4088
251	1375	4083
252	1380	4077
253	1386	4070
254	1390	4063
255	1396	4057
256	1401	4051
257	1406	4044
258	1411	4037
259	1416	4032
260	1421	4025
261	1425	4015
262	1430	4009
263	1436	4003
264	1440	3996
265	1447	3994
266	1453	3991
267	1459	3986
268	1465	3982
269	1470	3976
270	1476	3971
271	1481	3964
272	1486	3958
273	1492	3953
274	1497	3947
275	1502	3942
276	1508	3937
277	1513	3931
278	1518	3925
279	1524	3919
280	1529	3914
281	1534	3907
282	1539	3900
283	1545	3895
284	1550	3889
285	1556	3885
286	1561	3880
287	1567	3874
288	1572	3867
289	1577	3861
290	1582	3855
291	1587	3848
292	1592	3842
293	1597	3836
294	1602	3830
295	1608	3824
296	1613	3819
297	1618	3813
298	1624	3808
299	1629	3803
300	1635	3796
301	1640	3791
302	1645	3785
303	1650	3778
304	1655	3772
305	1660	3765
306	1665	3760
307	1670	3753
308	1676	3748
309	1681	3741
310	1686	3736
311	1691	3730
312	1696	3724
313	1701	3717
314	1706	3711
315	1711	3705
316	1717	3699
317	1722	3695
318	1728	3689
319	1733	3684
320	1739	3678
321	1744	3672
322	1749	3666
323	1754	3661
324	1759	3654
325	1765	3649
326	1770	3643
327	1775	3637
328	1780	3630
329	1785	3625
330	1790	3619
331	1796	3613
332	1801	3608
333	1806	3601
334	1811	3596
335	1816	3590
336	1821	3584
337	1827	3579
338	1832	3573
339	1837	3567
340	1842	3561
341	1847	3554
342	1852	3549
343	1857	3542
344	1862	3536
345	1868	3531
346	1873	3525
347	1878	3519
348	1883	3512
349	1888	3507
350	1893	3501
351	1898	3495
352	1903	3489
353	1909	3484
354	1914	3478
355	1919	3472
356	1925	3468
357	1931	3464
358	1937	3458
359	1943	3454
360	1948	3449
361	1954	3444
362	1960	3439
363	1965	3433
364	1970	3427
365	1975	3422
366	1980	3416
367	1986	3411
368	1991	3405
369	1996	3399
370	2001	3393
371	2006	3387
372	2011	3381
